[1] 138'107193/119966
[218] 29908939/33718464
[219] 4'59036/186961
[220] 1'196645/352002
[221] 4'416/671
[222] 4'995/25058
[223] 144336877/238763874
[224] 5752613/10139976
[225] 574857/6372296
[226] 4018'224/297
[227] 4'49267/333795
[228] 1818119/8144160
[229] 1096565/1941192
[230] 52'486297/631250
[231] 1'40553/331144
[232] 1'14709/93058
[233] 2'73613/79040
[234] 1180169/3998085
[235] 1'10581/1234240
[236] 1'4818835/10378056
[237] 1'18840/504049
[238] 4441990/14982241
[239] 6858827/8024907
[240] 10271250/38991371
[241] 1097689/2121749
[242] 1'450839/867132
[243] 162425/743212
[244] 60209/79365
[245] 1212981/1326800
[246] 1502255/2928624
[247] 18'55812/58751
[248] 49/39744
[249] 819'92/185
[250] 5'835877/2450500
[251] 76565/172546
[252] 62245564/113780439
[253] 5737741/117490230
[254] 87463163/98952000
[255] 2'54770/492167
[256] 6172164/17109055
[257] 1069658/2115967
[258] 2543968/6442901
[259] 1'1501124/5812905
[260] 338261/1610900
[261] 9693238/15242997
[262] 150'1969/4085
[263] 6093143/9052800
[264] 943736/1992705
[265] 454/1019477
[266] 206856/96274127
[267] 6392/1783755
[268] 143/2516
[269] 243'110391/177920
[270] 3591505/438715179
[271] 6850119/11830130
[272] 1'1833371/4562529
[273] 73189/176730
[274] 6010848/111755965
[275] 2'1433/1496
[276] 277982/336303
[277] 1'163933445/170252659
[278] 4'20434133/30339073
[279] 1'620801/4307052
[280] 2'802919/4710375
[281] 15847851/70509680
[282] 1328481/1970176
[283] 985051/1087065
[284] 9071/25760
[285] 6319653/7288666
[286] 21979/56610
[287] 8423791/12276264
[288] 55'529/770
[289] 3'178554/2048357
[290] 616235/764218
[291] 4970/79143
[292] 172107/290612
[293] 1233843/1385632
[294] 1'1509089/2574620
[295] 261039/14605528
[296] 2'119644/1522503
[297] 4'19003/51972
[298] 1'58589588/59877895
[299] 16541/27324
[300] 97150/2950401
[301] 22'231653/327875
[302] 1'5388941/10477075
[303] 363793/540638
[304] 3569/9234
[305] 1'378685/659794
[306] 1'491363/5838987
[307] 5122409/8206149
[308] 2'5983101/36185318
[309] 13079/143640
[310] 29791/58045
[311] 1
[312] 1'1867501/18709118
[313] 2415980/41358603
[314] 296852/11063983
[315] 37
[316] 138567/579289
[317] 4'204109/414625
[318] 21'14085/28037
[319] 3'8813292/9477751
[320] 4859056/95150421
[321] 182473/309140
[322] 1'874403/1006460
[323] 2'31151815/196403284
[324] 72'4533/71300
[325] 17715123/32156792
[326] 783928/932305
[327] 9783901/15679840
[328] 2'98795/491643
[329] 2'1206155/4226742
[330] 2'156257/829920
[331] 1'11599/12749
[332] 239/13860
[333] 3'1919751/3552908
